challenge_id,display_name,normalized_name,category_primary,region_primary,region_scope,household_facing,coordination_surface,stress_pattern,public_coordination_strength,natural_buyer_clarity,capture_risk_level,provisional_expected_outcome,provisional_tier_if_selected,why_it_is_in_set,notes
chal_0024,Monzo,monzo,financial_platform,uk,national,yes,financial_services,regional_household_brand,medium,high,medium,arguable,B,strong regional financial brand with clear buyer but less certain cross-region importance,good B-tier financial stress test
chal_0025,Citadel,citadel,financial_institution,us,multi_region,no,financial_services,finance_circle_brand,medium,medium,high,arguable,B,powerful finance brand with major capital behind it but the exact short token is still broader than the institution itself,good test of finance prestige versus word ambiguity
chal_0026,Sequoia,sequoia,venture_capital,us,multi_region,no,financial_services,finance_circle_brand,medium,medium,medium,arguable,B,elite finance brand but exact token is a common word and multiple entities coordinate around it,tests whether brand strength can overcome generic-word ambiguity
chal_0027,Accel,accel,venture_capital,global,multi_region,no,financial_services,finance_circle_brand,low_medium,medium,medium,arguable,B,well-known venture brand with clear buyer to insiders but thinner broad coordination evidence,good finance-circle lower-edge case
chal_0028,Founders Fund,foundersfund,venture_capital,us,multi_region,no,financial_services,finance_circle_brand,medium,high,high,likely_selected,B,unique finance brand with clear natural buyer and obvious capture-and-resale pressure,strong case for finance names outside household salience
chal_0029,Mixpanel,mixpanel,analytics_software,global,global,no,software|analytics,replaceable_vertical_software,low,high,low_medium,likely_not_selected,,real company but likely too narrow and replaceable for protocol special-casing,good test for keeping B from swallowing all software brands
chal_0030,Heap,heap,analytics_software,global,global,no,software|analytics,generic_word_brand,low,medium,low,likely_not_selected,,analytics company exists but normalized name is highly generic and socially contested,tests whether genericity can keep real brands out
chal_0031,Pendo,pendo,enterprise_software,global,global,no,software|productivity,replaceable_vertical_software,low,high,low_medium,likely_not_selected,,clear company but limited public coordination surface and uncertain resale pressure,good lower enterprise boundary case
chal_0032,Drift,drift,enterprise_software,global,global,no,software|communications,generic_word_brand,low,medium,low,likely_not_selected,,known SaaS brand but brand word is common and socially ambiguous,stress-tests natural buyer clarity on common nouns
chal_0033,Coda,coda,software_platform,global,global,no,software|documents,generic_word_brand,low,medium,low,likely_not_selected,,real product brand but common-word ambiguity plus limited coordination cost should make inclusion non-automatic,good generic-word boundary case
chal_0034,Weebly,weebly,web_services,global,global,yes,web|software,replaceable_vertical_software,low,medium,low,likely_not_selected,,consumer internet brand exists but feels replaceable and less strategically expensive to misallocate,good test of lower public-facing bar
chal_0035,Basecamp,basecamp,collaboration_software,global,global,no,software|productivity,generic_word_brand,low,medium,low,likely_not_selected,,recognizable brand but common-word namespace overlap and lower current coordination intensity weaken the case,good long-lived SaaS boundary example
chal_0036,Mural,mural,collaboration_software,global,global,no,software|productivity,generic_word_brand,low,medium,low,likely_not_selected,,real collaboration brand but generic normalized word and limited public coordination should keep pressure on the bar,helps compare with miro
chal_0037,Wise,wise,financial_platform,global,multi_region,yes,financial_services,generic_word_brand,medium,medium,medium,likely_not_selected,,substantial company but normalized name is broad and semantically crowded,tests whether generic-word fairness can outweigh company size
chal_0038,Toast,toast,financial_platform,us,multi_region,yes,payments|retail,generic_word_brand,medium,medium,medium,likely_not_selected,,real payments and restaurant brand but normalized word is extremely generic,good check against overbroad capture-risk logic
chal_0039,Bolt,bolt,commerce_platform,global,multi_region,yes,web|software,generic_word_brand,low_medium,low,low_medium,likely_not_selected,,multiple real brands compete around the same word so natural buyer clarity is weak,helps test ambiguity rather than size
chal_0040,Scale,scale,ai_service,global,global,no,software|ai,generic_word_brand,low_medium,medium,medium,likely_not_selected,,notable company exists but the normalized word is too broad to treat as an obvious special-case brand claim,good test for common-word AI brands
chal_0041,Rentech,rentech,hedge_fund,us,national,no,financial_services,finance_circle_brand,low,low_medium,low,likely_not_selected,,widely recognized shorthand in some circles but weaker as an official public identifier than Renaissance Technologies,good test for shorthand alias ambiguity
